match_id,ally_champs,enemy_champs,win
NA1_5166285660,"['Ambessa', 'Kindred', 'Galio', 'Varus', 'Renata']","['Aurora', 'Poppy', 'Yasuo', 'Ezreal', 'Karma']",0.0
NA1_5166248569,"['Ambessa', 'Graves', 'Sylas', 'Varus', 'Lulu']","['Brand', 'Rengar', 'Naafiri', 'Sivir', 'Sona']",1.0
NA1_5166226250,"['Ambessa', 'Kayn', 'Sylas', 'Draven', 'Nautilus']","['Kled', 'Rengar', 'Galio', 'Hwei', 'Rakan']",0.0
NA1_5165622027,"['Jax', 'Graves', 'Vex', 'Ahri', 'Braum']","['Gragas', 'Rengar', 'Yasuo', 'Draven', 'Nautilus']",0.0
NA1_5165556863,"['Renekton', 'Belveth', 'Aurora', 'Brand', 'Bard']","['Lissandra', 'Viego', 'Orianna', 'Corki', 'Rell']",0.0
NA1_5165498067,"['KSante', 'LeeSin', 'Sylas', 'Ezreal', 'Janna']","['Aatrox', 'Nunu', 'Leblanc', 'Corki', 'Senna']",0.0
NA1_5165450163,"['KSante', 'Kindred', 'Swain', 'Sivir', 'Rell']","['Ambessa', 'Nidalee', 'Galio', 'Ashe', 'Seraphine']",0.0
NA1_5165396484,"['Kled', 'Karthus', 'Ambessa', 'Xayah', 'Leona']","['Teemo', 'Lillia', 'Yasuo', 'Ashe', 'Alistar']",0.0
NA1_5165347900,"['Gragas', 'Diana', 'Pantheon', 'Smolder', 'Lulu']","['Teemo', 'LeeSin', 'Naafiri', 'Yasuo', 'Senna']",1.0
NA1_5165299820,"['Ambessa', 'Belveth', 'AurelionSol', 'Ashe', 'Zyra']","['Gangplank', 'Viego', 'Naafiri', 'Brand', 'Nami']",1.0
NA1_5165250252,"['Naafiri', 'JarvanIV', 'Azir', 'Xayah', 'Alistar']","['Rengar', 'Gragas', 'Yone', 'Yasuo', 'Rakan']",1.0
NA1_5165223184,"['LeeSin', 'Yone', 'Akali', 'Smolder', 'Braum']","['Kled', 'Viego', 'Sylas', 'Corki', 'Pyke']",1.0
NA1_5203157585,"['Ambessa', 'Viego', 'Taliyah', 'Jinx', 'Blitzcrank']","['Akali', 'MonkeyKing', 'Vladimir', 'Caitlyn', 'Rakan']",1.0
NA1_5203110145,"['Jayce', 'Vi', 'Viktor', 'Jinx', 'Neeko']","['Gragas', 'Viego', 'Sylas', 'Ezreal', 'Karma']",1.0
NA1_5203074885,"['Jax', 'MonkeyKing', 'Viktor', 'Caitlyn', 'Blitzcrank']","['Jayce', 'Graves', 'Galio', 'Seraphine', 'Nautilus']",0.0
