match_id,ally_champs,enemy_champs,win
NA1_5211493790,"['Irelia', 'Nidalee', 'Jayce', 'Lux', 'Blitzcrank']","['Camille', 'Rumble', 'Sylas', 'Jhin', 'Leona']",1.0
NA1_5211454252,"['KSante', 'Nidalee', 'Tristana', 'Jhin', 'Elise']","['Jax', 'Viego', 'Lissandra', 'Hwei', 'Alistar']",1.0
NA1_5211399559,"['Aurora', 'Graves', 'Jayce', 'Lux', 'Elise']","['Maokai', 'Nocturne', 'Ambessa', 'Corki', 'Morgana']",0.0
NA1_5211370884,"['Sett', 'Kindred', 'Viktor', 'MissFortune', 'Leona']","['Urgot', 'Zyra', 'Jayce', 'Corki', 'Rell']",0.0
NA1_5210840617,"['Gragas', 'Lillia', 'Aurora', 'Xayah', 'Rakan']","['Riven', 'MonkeyKing', 'Ryze', 'Varus', 'Rell']",1.0
NA1_5210825379,"['Irelia', 'Viego', 'Akali', 'Varus', 'Thresh']","['LeeSin', 'Elise', 'Zed', 'Jhin', 'Kennen']",0.0
NA1_5210791351,"['LeeSin', 'Kindred', 'Leblanc', 'Corki', 'Thresh']","['Gangplank', 'Sion', 'Viktor', 'Ezreal', 'Sona']",0.0
NA1_5210761449,"['Renekton', 'Vi', 'Hwei', 'Vayne', 'Yuumi']","['Ambessa', 'Viego', 'Fizz', 'Zeri', 'Lulu']",0.0
NA1_5210732593,"['Kayle', 'Viego', 'Hwei', 'Corki', 'Rell']","['KSante', 'LeeSin', 'Diana', 'Caitlyn', 'Nautilus']",1.0
NA1_5210699893,"['Renekton', 'Nidalee', 'Yone', 'Kaisa', 'Nautilus']","['Lux', 'LeeSin', 'KSante', 'Corki', 'Taric']",0.0
NA1_5210656641,"['Gragas', 'Kindred', 'Ahri', 'Ashe', 'Braum']","['Jax', 'XinZhao', 'Sylas', 'Corki', 'Nautilus']",1.0
NA1_5210614041,"['Urgot', 'Kindred', 'Ahri', 'Vladimir', 'Soraka']","['Garen', 'Elise', 'Mordekaiser', 'Kalista', 'Renata']",1.0
NA1_5210587559,"['Garen', 'Kindred', 'Sylas', 'Kalista', 'Neeko']","['Gragas', 'Kayn', 'Azir', 'MissFortune', 'Renata']",1.0
NA1_5210025202,"['Lulu', 'Vi', 'Taliyah', 'Corki', 'Rell']","['Akali', 'Nunu', 'Akshan', 'Ezreal', 'Leona']",1.0
NA1_5209996989,"['Sylas', 'Kindred', 'Aurora', 'Ezreal', 'Alistar']","['Jayce', 'LeeSin', 'Zilean', 'MissFortune', 'Braum']",1.0
NA1_5209967988,"['Aatrox', 'Lillia', 'Hwei', 'Ezreal', 'Bard']","['Urgot', 'Rammus', 'Akshan', 'Viktor', 'Thresh']",1.0
NA1_5209937889,"['Malphite', 'Kindred', 'Taliyah', 'Ezreal', 'Taric']","['Darius', 'Nunu', 'Ekko', 'Corki', 'Pyke']",1.0
NA1_5209896626,"['Gangplank', 'LeeSin', 'Leblanc', 'Corki', 'Elise']","['Poppy', 'Qiyana', 'Viktor', 'Jinx', 'Janna']",0.0
NA1_5209855677,"['LeeSin', 'MonkeyKing', 'Aurora', 'Caitlyn', 'Elise']","['Ryze', 'Viego', 'Ambessa', 'Jhin', 'Senna']",1.0
